"Processor_Number","Vertical_Segment","nb_of_Cores","Price_USD","Launch_Year","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB","Predicted_Price_USD"
"Z615","Mobile",1,NA,2010,1.6,512,2.2,2,160.987021605884
"E665C","Embedded",1,NA,2010,1.3,512,7,2.93,119.676402336195
"Z625","Mobile",1,NA,2010,1.9,512,2.2,2,192.07639413177
"Z650","Mobile",1,NA,2011,1.2,512,3,2.93,124.008724843619
"E665CT","Embedded",1,NA,2010,1.3,512,7,2.93,119.676402336195
"Z540","Mobile",1,NA,2008,1.86,512,2.4,22.4466183574879,303.732742099196
"Z670","Mobile",1,NA,2011,1.5,512,3,2.93,155.963687887776
"N550","Mobile",2,NA,2010,1.5,1,8.5,2,51.5597378653227
"N470","Mobile",1,NA,2010,1.83,512,6.5,2,158.968362474875
"Z550","Mobile",1,NA,2009,2,512,2.4,22.4466183574879,327.245852193973
"330","Desktop",2,NA,2008,1.6,1,8,39.4661935483871,101.958536510064
"N570","Mobile",2,NA,2011,1.66,1,8.5,2,57.2184743348537
"Z560","Mobile",1,NA,2010,2.13,512,2.5,22.4466183574879,347.144224908923
"N475","Mobile",1,NA,2010,1.83,512,6.5,2,158.968362474875
"N280","Mobile",1,NA,2009,1.66,512,2.5,22.4466183574879,268.698468168538
"3120A","Server",57,NA,2013,1.1,28.5,300,6,1064.48344366329
"3120P","Server",57,NA,2013,1.1,28.5,300,6,1064.48344366329
"E3-1290","Server",4,NA,2011,4,8,95,32,520.361127745057
"E5603","Server",4,NA,2011,1.6,4,80,288,276.148494809335
"E3-1220 v3","Server",4,NA,2013,3.5,8,80,32,464.618845263081
"E3-1220V5","Server",4,NA,2015,3.5,8,80,64,535.026644362171
"E3-1220V6","Server",4,NA,2017,3.5,8,72,64,542.921637550312
"E5-2690","Server",8,NA,2012,3.8,20,135,384,1737.1363235632
"E5-2697V2","Server",12,NA,2013,3.5,30,130,768,2863.38265526799
"E5-2695V2","Server",12,NA,2013,3.2,30,115,768,2656.41184877745
"E5-1620V4","Server",4,NA,2016,3.8,10,140,1576.96,1089.93182225901
"E5-1650V4","Server",6,NA,2016,4,15,140,1576.96,1780.21274514706
"E5-2609V4","Server",8,NA,2016,1.7,20,85,1576.96,1080.74561726215
"E5-2620V4","Server",8,NA,2016,3,20,85,1576.96,1937.17864663501
"E5-2630V4","Server",10,NA,2016,3.1,25,85,1576.96,2549.57165779387
"E5-2650V4","Server",12,NA,2016,2.9,30,105,1576.96,2814.92975660414
"E5-2680V4","Server",14,NA,2016,3.3,35,120,1576.96,3727.06147087513
"E5-2687WV4","Server",12,NA,2016,3.5,30,160,1576.96,3220.67712682187
"E5-2690V4","Server",14,NA,2016,3.5,35,135,1576.96,3895.02796443126
"E5-2695V4","Server",18,NA,2016,3.3,45,120,1576.96,4889.29489238478
"E5-2603V3","Server",6,NA,2014,1.6,15,85,768,642.877620991776
"E5-2620V3","Server",6,NA,2014,3.2,15,85,768,1310.46333219498
"E5-2630V3","Server",8,NA,2014,3.2,20,85,768,1787.98094695536
"E5-2640V3","Server",8,NA,2014,3.4,20,90,768,1887.83302382219
"E5-2650V3","Server",10,NA,2014,3,25,105,768,2067.6238568778
"E5-2660V3","Server",10,NA,2014,3.3,25,105,768,2280.34680918393
"E5-2670V3","Server",12,NA,2014,3.1,30,120,768,2555.98738619805
"E5-2680V3","Server",12,NA,2014,3.3,30,120,768,2725.56522047343
"E5-2687WV3","Server",10,NA,2014,3.5,25,160,768,2284.67058408628
"E5-2690V3","Server",12,NA,2014,3.5,30,135,768,2848.39754739343
"E5-2695V3","Server",14,NA,2014,3.3,35,120,768,3219.29926205687
"E5-1650V3","Server",6,NA,2014,3.8,15,140,768,1458.74229329879
"E5-2697V3","Server",14,NA,2014,3.6,35,145,768,3428.949267172
"E5-2698V3","Server",16,NA,2014,3.6,40,135,768,4000.45180250079
"E5-1620V3","Server",4,NA,2014,3.6,10,140,768,890.570321295588
"E5-2699V3","Server",18,NA,2014,3.6,45,145,768,4498.22045309438
"E5-2690V2","Server",10,NA,2013,3.6,25,130,768,2420.64678524707
"E5-2680V2","Server",10,NA,2013,3.6,25,115,768,2462.26184199933
"E5-2687WV2","Server",8,NA,2013,4,25,150,256,1751.23944290108
"E5-2670V2","Server",10,NA,2013,3.3,25,115,768,2251.68670791439
"E5-2660V2","Server",10,NA,2013,3,25,95,768,2096.59546522822
"E5-2650V2","Server",8,NA,2013,3.4,20,95,768,1873.69528180598
"E5-2640V2","Server",8,NA,2013,2.5,20,95,768,1366.13289688352
"E5-2630V2","Server",6,NA,2013,3.1,15,80,768,1279.14125396181
"E5-2620V2","Server",6,NA,2013,2.6,15,80,768,1067.65874893418
"E5-1660V2","Server",6,NA,2013,4,15,130,256,1242.27322272261
"E5-2609V2","Server",4,NA,2013,2.5,10,80,768,661.830724308728
"E5-2687W","Server",8,NA,2012,3.8,20,150,256,1576.25502739596
"E5-2680","Server",8,NA,2012,3.5,20,130,384,1604.78314002945
"E5-2670","Server",8,NA,2012,3.3,20,115,384,1536.60881555324
"E5-2665","Server",8,NA,2012,3.1,20,115,384,1441.00486775091
"E5-2660","Server",8,NA,2012,3,20,95,384,1430.77056998869
"E5-2650","Server",8,NA,2012,2.8,20,95,384,1332.85822529734
"E5-2470","Server",8,NA,2012,3.1,20,95,384,1479.79478859865
"E5-2640","Server",6,NA,2012,3,15,95,384,1048.65343892319
"E5-2450","Server",8,NA,2012,2.9,20,95,384,1381.79121409408
" E5-4650L","Server",8,NA,2012,3.1,20,115,384,1441.00486775091
"E5-4650","Server",8,NA,2012,3.3,20,130,384,1510.63835945692
"E5-2440","Server",6,NA,2012,2.9,15,95,384,1012.75504188283
"E5-2630","Server",6,NA,2012,2.8,15,95,384,976.890628639479
"E5-1660","Server",6,NA,2012,3.9,15,130,256,1210.37458531326
"E5-2430","Server",6,NA,2012,2.7,15,95,384,941.061379485113
"E5-4640","Server",8,NA,2012,2.8,20,95,384,1332.85822529734
"E5-4620","Server",8,NA,2012,2.6,16,95,384,1171.88374768455
"E5-2620","Server",6,NA,2012,2.5,15,95,384,869.513535685659
"E5-2420","Server",6,NA,2012,2.4,15,95,384,833.797773859471
"E5-2609","Server",4,NA,2012,2.4,10,80,384,551.128309208011
"E5-4610","Server",6,NA,2012,2.9,15,95,384,1012.75504188283
"E5-2407","Server",4,NA,2012,2.2,10,80,384,503.995256325524
"E5-4607","Server",6,NA,2012,2.2,12,95,384,723.441704028727
"E5-2403","Server",4,NA,2012,1.8,10,80,384,410.093651696432
"E5-4603","Server",4,NA,2012,2,10,95,384,446.190834908896
"E5-2603","Server",4,NA,2012,1.8,10,80,384,410.093651696432
"E3-1225V6","Server",4,NA,2017,3.7,8,73,64,573.720956292092
"E3-1230V6","Server",4,NA,2017,3.9,8,72,64,606.770255831232
"E3-1240V6","Server",4,NA,2017,4.1,8,72,64,638.763312301818
"E3-1245V6","Server",4,NA,2017,4.1,8,73,64,637.539524292984
"E3-1270V6","Server",4,NA,2017,4.2,8,72,64,654.7760545602
"E3-1501LV6","Embedded",4,NA,2017,2.9,6,25,64,484.462640717101
"E3-1501MV6","Embedded",4,NA,2017,3.6,6,45,64,557.509846009512
"E3-1225V5","Server",4,NA,2015,3.7,8,80,64,566.463359877608
"E3-1230V5","Server",4,NA,2015,3.8,8,80,64,582.199389569233
"E3-1240V5","Server",4,NA,2015,3.9,8,80,64,597.946796412358
"E3-1245V5","Server",4,NA,2015,3.9,8,80,64,597.946796412358
"E3-1270V5","Server",4,NA,2015,4,8,80,64,613.705296533134
"E3-1275V5","Server",4,NA,2015,4,8,80,64,613.705296533134
"E3-1220LV3","Server",2,NA,2013,1.5,4,13,32,118.470153050141
"E3-1226V3","Server",4,NA,2014,3.7,8,84,32,488.593011904476
"E3-1225V3","Server",4,NA,2013,3.6,8,84,32,475.030247219353
"E3-1230 v3","Server",4,NA,2013,3.7,8,80,32,491.918589332947
"E3-1231V3","Server",4,NA,2014,3.8,8,80,32,505.583807731676
"E3-1240 v3","Server",4,NA,2013,3.8,8,80,32,505.583807731676
"E3-1241V3","Server",4,NA,2014,3.9,8,80,32,519.258906085072
"E3-1245 v3","Server",4,NA,2013,3.8,8,84,32,502.165847655248
"E3-1246V3","Server",4,NA,2014,3.9,8,84,32,515.748496568021
"E3-1275 v3","Server",4,NA,2013,3.9,8,84,32,515.748496568021
"E3-1271V3","Server",4,NA,2014,4,8,80,32,532.943637876181
"E3-1270 v3","Server",4,NA,2013,3.9,8,80,32,519.258906085072
"E3-1276V3","Server",4,NA,2014,4,8,84,32,529.340713792398
"E3-1285Lv3","Server",4,NA,2013,3.9,8,65,32,534.467572645266
"E3-1220V2","Server",4,NA,2012,3.5,8,69,32.77,476.574088671902
"E3-1225V2","Server",4,NA,2012,3.6,8,77,32.77,483.14462989221
"E3-1230V2","Server",4,NA,2012,3.7,8,69,32.77,504.576290441625
"E3-1240V2","Server",4,NA,2012,3.8,8,69,32.77,518.593132572058
"E3-1245V2","Server",4,NA,2012,3.8,8,77,32.77,510.743755855761
"E3-1265LV2","Server",4,NA,2012,3.5,8,45,32.77,505.754537174336
"E3-1270V2","Server",4,NA,2012,3.9,8,69,32.77,532.620108881163
"E3-1275V2","Server",4,NA,2012,3.9,8,77,32.77,524.558421175141
"E3-1290V2","Server",4,NA,2012,4.1,8,87,32.77,542.921324911134
"E3-1220","Server",4,NA,2011,3.4,8,80,32,450.98488280067
"E3-1225","Server",4,NA,2011,3.4,6,95,32,411.482503658325
"E3-1240","Server",4,NA,2011,3.7,8,80,32,491.918589332947
"E3-1245","Server",4,NA,2011,3.7,8,95,32,480.304658338975
"E3-1275","Server",4,NA,2011,3.8,8,95,32,493.647248345646
"E3-1270","Server",4,NA,2011,3.8,8,80,32,505.583807731676
"E3-1280","Server",4,NA,2011,3.9,8,95,32,506.999485046614
"E5606","Server",4,NA,2011,2.13,8,80,288,436.248456035257
"","Server",1,NA,2003,2.4,512,40,699.137906976744,537.474224634563
"","Server",1,NA,2004,2.8,1,55,699.137906976744,138.56086011642
"E5607","Server",4,NA,2011,2.26,8,80,288,463.627594747666
"","Server",1,NA,2002,1.6,512,30,699.137906976744,368.808727237412
"E5620","Server",4,NA,2010,2.66,12,80,288,603.074705210803
"","Server",1,NA,NA,3,512,85,699.137906976744,608.717293109216
"E5630","Server",4,NA,2010,2.8,12,80,288,635.710286585617
"","Server",1,NA,NA,3.8,2,110,699.137906976744,202.756494645038
"E5640","Server",4,NA,2010,2.93,12,80,288,666.054967998247
"","Server",1,NA,NA,2.8,512,74,699.137906976744,578.09275294439
"","Server",1,NA,NA,3.8,2,110,699.137906976744,202.756494645038
"E5645","Server",6,NA,2010,2.67,12,80,288,852.59895713384
"E5649","Server",6,NA,2011,2.93,12,80,288,938.014129042166
"","Server",1,NA,NA,3.6,2,110,699.137906976744,191.800115890568
"","Server",1,NA,NA,3.6,2,110,699.137906976744,191.800115890568
"","Server",1,NA,NA,2.6,512,60,699.137906976744,551.559143488641
"E5502","Server",2,NA,2009,1.86,4,80,144,155.90127224103
"","Server",1,NA,NA,3.6,1,103,699.137906976744,164.399186398204
"L5630","Server",4,NA,2010,2.4,12,40,288,597.48461500508
"E5503","Server",2,NA,2010,2,4,80,144,167.970184379986
"","Server",1,NA,NA,2.4,512,65,699.137906976744,502.391575751913
"","Server",1,NA,NA,3.4,2,110,699.137906976744,180.860448013193
"","Server",1,NA,NA,3.4,2,110,699.137906976744,180.860448013193
"","Server",1,NA,NA,2.2,512,61,699.137906976744,463.501410940795
"E5506","Server",4,NA,2009,2.13,4,80,144,321.762923459407
"E5205","Server",2,NA,2007,1.86,6,65,699.137906976744,243.532684032425
"","Server",1,NA,NA,3.4,1,103,699.137906976744,155.022380288592
"L5640","Server",6,NA,2010,2.8,12,60,288,931.813476030449
"E5507","Server",4,NA,2010,2.26,4,80,144,341.956901436933
"E5440","Server",4,NA,2008,2.83,12,80,699.137906976744,769.876749409088
"","Server",2,NA,2006,1.66,2,15,699.137906976744,205.083005925807
"","Server",1,NA,NA,2,512,58,699.137906976744,423.220545118127
"","Server",1,NA,NA,3.2,2,110,699.137906976744,169.93844731259
"E5520","Server",4,NA,2009,2.53,8,80,144,452.114762595313
"","Server",2,NA,2006,2.16,2,31,699.137906976744,242.986869634243
"","Server",1,NA,NA,3.2,2,110,699.137906976744,169.93844731259
"X5650","Server",6,NA,2010,3.06,12,95,288,957.644886002647
"E5530","Server",4,NA,2009,2.66,8,80,144,476.000473098082
"E5462","Server",4,NA,2007,2.8,12,80,699.137906976744,761.492621164195
"","Server",1,NA,2004,3.2,1,103,699.137906976744,145.660717389263
"","Server",1,NA,NA,3.2,2,92,699.137906976744,174.213248151164
"","Server",1,NA,NA,2,256,77.5,699.137906976744,345.260581055804
"","Server",2,NA,2006,2,2,31,699.137906976744,224.512849795685
"5110","Server",2,NA,NA,1.6,4,65,699.137906976744,189.619676482228
"X5660","Server",6,NA,2010,3.2,12,95,288,1002.68974251141
"E5472","Server",4,NA,2007,3,12,80,699.137906976744,817.432200174345
"","Server",1,NA,NA,3.2,1,92,699.137906976744,147.965976192645
"5120","Server",2,NA,NA,1.86,4,65,699.137906976744,221.346223033979
"L5506","Server",4,NA,2009,2.13,4,60,144,334.893284709864
"L5215","Server",2,NA,2008,1.86,6,20,699.137906976744,286.89649912607
"E5310","Server",4,NA,2006,1.6,8,80,699.137906976744,389.465018105817
"","Server",1,NA,NA,3.06,512,85,699.137906976744,621.229371030307
"","Server",2,NA,2006,1.66,2,31,699.137906976744,185.394609426987
"5130","Server",2,NA,2006,2,4,65,699.137906976744,238.481478440725
"","Server",2,NA,NA,2.8,4,135,699.137906976744,304.413577533336
"","Server",1,NA,NA,3,2,110,699.137906976744,159.035188101969
"X5670","Server",6,NA,2010,3.33,12,95,288,1044.56565922753
"X3320","Server",4,NA,2008,2.5,6,95,699.137906976744,562.082873601232
"L5410","Server",4,NA,2008,2.33,12,50,699.137906976744,673.056135083005
"E5320","Server",4,NA,2006,1.86,8,80,699.137906976744,454.629036188985
"7110M","Server",2,NA,NA,2.6,4,95,699.137906976744,296.219168158208
"","Server",1,NA,NA,3.06,1,87,699.137906976744,142.420952375362
"","Server",1,NA,NA,1.8,512,55,699.137906976744,382.612817698063
"3040","Server",2,NA,NA,1.86,2,65,699.137906976744,187.997814835295
"","Server",1,NA,NA,3,1,103,699.137906976744,136.315118534998
"X5672","Server",4,NA,2011,3.6,12,95,288,803.571422338092
"E7520","Server",4,NA,2010,1.87,18,95,699.137906976744,540.310767619799
"E5335","Server",4,NA,2007,2,8,80,699.137906976744,489.823603973524
"","Server",1,NA,NA,3,2,55,699.137906976744,175.124104270909
"","Server",1,NA,NA,0.7,2,29.6,699.137906976744,42.7933354986537
"7110N","Server",2,NA,NA,2.5,4,95,699.137906976744,284.519519789506
"","Server",1,NA,NA,1.7,256,65.8,699.137906976744,298.888693806279
"5150","Server",2,NA,NA,2.66,4,65,699.137906976744,319.674047774429
"3050","Server",2,NA,NA,2.13,2,65,699.137906976744,216.090659525054
"X5675","Server",6,NA,2011,3.46,12,95,288,1086.48650432184
"E7530","Server",6,NA,2010,2.13,12,105,699.137906976744,779.660025153606
"L5520","Server",4,NA,2009,2.48,8,60,144,461.012003107426
"E7430","Server",4,NA,2008,2.13,12,90,699.137906976744,565.605576655054
"L5240","Server",2,NA,2008,3,6,40,699.137906976744,425.776787450952
"E7310","Server",4,NA,2007,1.6,4,80,699.137906976744,330.787538884014
"E5345","Server",4,NA,2007,2.33,8,80,699.137906976744,573.042730767232
"","Server",1,NA,NA,0.7,1,29.6,699.137906976744,36.3460169005258
"","Server",1,NA,NA,3,1,103,699.137906976744,136.315118534998
"","Server",1,NA,NA,0.933,256,29.6,699.137906976744,180.310749918168
"5160","Server",2,NA,NA,3,4,80,699.137906976744,351.434295844025
"5030","Server",2,NA,NA,2.66,4,95,699.137906976744,303.244922422961
"3060","Server",2,NA,NA,2.4,4,65,699.137906976744,287.614179909399
"E7540","Server",6,NA,2010,2.27,18,105,699.137906976744,915.789907923532
"X3430","Server",4,NA,2009,2.8,8,95,32,360.702482339129
"L5530","Server",4,NA,2009,2.66,8,60,144,495.424893102629
"E7320","Server",4,NA,2007,2.13,4,80,699.137906976744,443.834491154776
"3065","Server",2,NA,2007,2.33,4,65,699.137906976744,278.998554856222
"5113","Server",2,NA,NA,1.6,4,40,699.137906976744,202.861061991751
"L5310","Server",4,NA,2007,1.6,8,50,699.137906976744,415.764682795369
"","Server",1,NA,NA,0.866,256,27.4,699.137906976744,168.823309650935
"","Server",1,NA,NA,0.55,512,34,699.137906976744,120.990492308509
"","Server",1,NA,NA,1.6,1,72,699.137906976744,75.1045000505764
"","Server",1,NA,2003,2.8,512,74,699.137906976744,578.09275294439
"7120N","Server",2,NA,NA,3,4,95,699.137906976744,343.13712279679
"5040","Server",2,NA,NA,2.83,4,95,699.137906976744,323.174561320236
"","Server",1,NA,NA,3.66,1,110,699.137906976744,165.693421571835
"","Server",1,NA,NA,2.8,2,110,699.137906976744,148.151886137199
"","Server",1,NA,NA,0.45,512,34.5,699.137906976744,98.2485966943244
"L7545","Server",6,NA,2010,2.53,18,95,699.137906976744,1038.07059484066
"W5580","Server",4,NA,2009,3.46,8,130,144,582.938100666859
"L5318","Server",4,NA,2007,1.6,8,40,699.137906976744,428.86554387513
"E7330","Server",4,NA,2007,2.4,6,80,699.137906976744,552.02808420566
"","Server",1,NA,NA,0.8,256,25.4,699.137906976744,157.266262518164
"","Server",1,NA,NA,0.55,2,39.5,699.137906976744,32.0880436762378
"","Server",1,NA,NA,1.5,512,68,699.137906976744,308.029729331883
"3070","Server",2,NA,NA,2.66,4,65,699.137906976744,319.674047774429
"","Server",1,NA,NA,3.33,8,129,699.137906976744,240.037375297113
"","Server",1,NA,NA,2.8,1,103,699.137906976744,126.986625796468
"","Server",1,NA,NA,0.45,2,46.7,699.137906976744,25.5087680771313
"X5680","Server",6,NA,2010,3.6,12,130,288,1083.39027767479
"X3450","Server",4,NA,2009,3.2,8,95,32,413.745794189506
"L7555","Server",8,NA,2010,2.53,24,95,699.137906976744,1416.33146046208
"W5590","Server",4,NA,2009,3.6,8,130,144,607.186206316392
"X5260","Server",2,NA,2007,3.33,6,80,699.137906976744,430.424388994308
"","Server",1,NA,NA,2.8,2,110,699.137906976744,148.151886137199
"5128","Server",2,NA,2006,1.86,4,40,699.137906976744,236.803114030966
"L5320","Server",4,NA,2007,1.86,8,50,699.137906976744,485.329075098914
"","Server",1,NA,NA,0.733,256,23.3,699.137906976744,145.484599065509
"","Server",1,NA,NA,0.55,1,34,699.137906976744,27.8277064993761
"7130N","Server",2,NA,NA,3.16,8,150,699.137906976744,399.93843474061
"","Server",1,NA,NA,2.66,512,72,699.137906976744,550.508169314552
"","Server",1,NA,NA,1.5,256,59.2,699.137906976744,266.711196069514
"5060","Server",2,NA,NA,3.2,4,130,699.137906976744,351.016286033944
"","Server",1,NA,NA,3.16,1,110,699.137906976744,142.481808677966
"","Server",1,NA,NA,3.5,1,110,699.137906976744,158.255613772641
"","Server",1,NA,NA,0.45,2,46.7,699.137906976744,25.5087680771313
"X7542","Server",6,NA,2010,2.8,18,130,699.137906976744,1102.89674138359
"E6510","Server",4,NA,2010,1.73,12,105,699.137906976744,447.086766649363
"X3460","Server",4,NA,2009,3.46,8,95,32,448.323347240886
"X5550","Server",4,NA,2009,3.06,8,95,144,536.712187022953
"L7445","Server",4,NA,2008,2.13,12,50,699.137906976744,613.768566844092
"X5270","Server",2,NA,2008,3.5,6,80,699.137906976744,453.016992863735
"W-2195","Server",18,NA,2017,4.3,24.75,140,512,4339.4155754467
"X5472","Server",4,NA,2007,3,12,120,699.137906976744,772.626289236168
"E7340","Server",4,NA,2007,2.4,8,80,699.137906976744,590.738597723545
"L5335","Server",4,NA,2007,2,8,50,699.137906976744,522.900249994738
"5133","Server",2,NA,NA,2.2,4,40,699.137906976744,281.383946520509
"X3210","Server",4,NA,2007,2.13,8,105,699.137906976744,503.177044596383
"","Server",1,NA,NA,0.667,256,21.3,699.137906976744,133.700343869104
"","Server",1,NA,NA,0.5,512,36,699.137906976744,108.835508862574
"7140M","Server",2,NA,NA,3.4,16,150,699.137906976744,507.665119891675
"","Server",1,NA,2002,2.4,512,65,699.137906976744,502.391575751913
"","Server",1,NA,NA,3,8,129,699.137906976744,215.631040441581
"","Server",1,NA,NA,2.8,1,103,699.137906976744,126.986625796468
"W3690","Server",6,NA,2011,3.73,12,130,24,677.536806128549
"X5690","Server",6,NA,2011,3.73,12,130,288,1123.60674463103
"","Server",1,NA,NA,0.4,512,30.8,699.137906976744,88.4339453964612
"X7550","Server",8,NA,2010,2.4,18,130,699.137906976744,1200.1996051002
"E6540","Server",6,NA,2010,2.27,18,105,699.137906976744,915.789907923532
"X5560","Server",4,NA,2009,3.2,8,95,144,561.957582058547
"L7455","Server",6,NA,2008,2.13,12,65,699.137906976744,833.416736538932
"L3014","Embedded",1,NA,2008,2.4,3,30,186.197125,127.319061208415
"E3120","Server",2,NA,2008,3.16,6,65,699.137906976744,419.80943449563
"X5272","Server",2,NA,2007,3.4,6,80,699.137906976744,439.723479829323
"X5482","Server",4,NA,2007,3.2,12,150,699.137906976744,800.3765212556
"L7345","Server",4,NA,2007,1.86,8,50,699.137906976744,485.329075098914
"E7210","Server",2,NA,2007,2.4,8,80,699.137906976744,328.997199792174
"X5355","Server",4,NA,2006,2.66,8,120,699.137906976744,620.597717699848
"X3220","Server",4,NA,2007,2.4,8,105,699.137906976744,568.821239445624
"","Server",1,NA,NA,0.6,256,19.2,699.137906976744,121.664186394161
"","Server",1,NA,NA,0.5,2,36.2,699.137906976744,29.4497475997349
"","Server",1,NA,NA,1.4,512,64,699.137906976744,289.3790911416
"7140N","Server",2,NA,NA,3.33,16,150,699.137906976744,496.929227267807
"","Server",1,NA,NA,2.4,1,77,699.137906976744,112.859711307792
"5070","Server",2,NA,NA,3.46,4,130,699.137906976744,380.351410215721
"","Server",1,NA,NA,0.4,512,18.6,699.137906976744,94.8576117686099
"X7560","Server",8,NA,2010,2.67,24,130,699.137906976744,1433.04265218838
"X6550","Server",8,NA,2010,2.4,18,130,699.137906976744,1200.1996051002
"X5570","Server",4,NA,2009,3.33,8,95,144,585.42694442116
"X5492","Server",4,NA,2008,3.4,12,150,699.137906976744,851.816987283988
"X3230","Server",4,NA,2007,2.66,8,95,699.137906976744,641.085565191326
"X7350","Server",4,NA,2007,2.93,8,130,699.137906976744,677.822685059144
"E7220","Server",2,NA,2007,2.93,8,80,699.137906976744,403.857587605799
"X5365","Server",4,NA,2007,3,8,150,699.137906976744,680.786259651911
"7150N","Server",2,NA,NA,3.5,16,150,699.137906976744,523.012612572794
"","Server",1,NA,NA,0.5,1,44,699.137906976744,24.3433391024745
"","Server",1,NA,NA,1,256,30.8,699.137906976744,192.560633660758
"","Server",1,NA,2002,2,512,58,699.137906976744,423.220545118127
"","Server",1,NA,NA,1.4,256,56,699.137906976744,250.386293081427
"5148","Server",2,NA,2006,2.33,4,40,699.137906976744,298.481382218799
"","Server",1,NA,NA,2.83,4,129,699.137906976744,172.489008816768
"5110P","Server",60,NA,2012,1.05,30,225,8,1183.70457013991
"5120D","Server",60,NA,2013,1.05,30,245,8,1169.77258180327
"7120X","Server",61,NA,2013,1.33,30.5,300,16,1699.75423769903
"7120P","Server",61,NA,2013,1.33,30.5,300,16,1699.75423769903
"7120D","Server",61,NA,2014,1.33,30.5,270,16,1724.8362560799
"7120A","Server",61,NA,2014,1.33,30.5,300,16,1699.75423769903
"E7-2850V2","Server",12,NA,2014,2.8,24,105,1576.96,2576.19167035014
"3104","Server",6,NA,2017,1.7,8.25,85,768,594.309408443211
"365","Desktop",1,NA,2007,3.6,512,65,39.4661935483871,424.476652696462
"i7-2960XM","Mobile",4,NA,2011,3.7,8,55,32,518.223950818701
"i5-4670","Desktop",4,NA,2013,3.8,6,84,32,469.259418468483
"5Y10","Mobile",2,NA,2014,2,4,4.5,16,160.234565370254
"5Y10a","Mobile",2,NA,2014,2,4,4.5,16,160.234565370254
"i5-5675C","Desktop",4,NA,2015,3.6,4,65,32,418.10497917225
"5Y70","Mobile",2,NA,2014,2.6,4,4.5,16,209.811144016727
"i7-4610M","Mobile",2,NA,2014,3.7,4,37,32,259.018536483177
"i7-4790S","Desktop",4,NA,2014,4,8,65,32,548.553118982525
"i7-4790","Desktop",4,NA,2014,4,8,84,32,529.340713792398
"i7-4771","Desktop",4,NA,2013,3.9,8,84,32,515.748496568021
"i7-4770S","Desktop",4,NA,2013,3.9,8,65,32,534.467572645266
"i7-4770","Desktop",4,NA,2013,3.9,8,84,32,515.748496568021
"i7-4770K","Desktop",4,NA,2013,3.9,8,84,32,515.748496568021
"i7-4790K","Desktop",4,NA,2014,4.4,8,88,32,580.037077919385
"i7-4702HQ","Mobile",4,NA,2013,3.2,6,37,32,440.794253641176
"i7-4910MQ","Mobile",4,NA,2014,3.9,8,47,32,559.112463256695
"i5-4360U","Mobile",2,NA,2014,3,3,15,16,192.110996271063
"i5-4310M","Mobile",2,NA,2014,3.4,3,37,32,221.904147785285
"i5-4302Y","Mobile",2,NA,2013,2.3,3,11.5,16,151.716680200977
"i5-4300M","Mobile",2,NA,2013,3.3,3,37,32,215.201063027585
"i5-4430","Desktop",4,NA,2013,3.2,6,84,32,393.305364155912
"i5-4440","Desktop",4,NA,2013,3.3,6,84,32,405.939038098618
"i5-4440S","Desktop",4,NA,2013,3.3,6,65,32,420.672583203368
"i5-4460","Desktop",4,NA,2014,3.4,6,84,32,418.583231117709
"i5-4590S","Desktop",4,NA,2014,3.7,6,65,32,473.147409164102
"i5-4590","Desktop",4,NA,2014,3.7,6,84,32,456.575997162325
"i5-4570T","Desktop",2,NA,2013,3.6,4,35,32,253.781642264654
"i5-4570S","Desktop",4,NA,2013,3.6,6,65,32,460.013396160406
"i5-4570","Desktop",4,NA,2013,3.6,6,84,32,443.901986974888
"i5-4690S","Desktop",4,NA,2014,3.9,6,65,32,499.444443505772
"i5-4690K","Desktop",4,NA,2014,3.9,6,88,32,478.844921140275
"i5-4690","Desktop",4,NA,2014,3.9,6,84,32,481.952009889884
"i5-4670K","Desktop",4,NA,2013,3.8,6,84,32,469.259418468483
"SU3500","Mobile",1,NA,2009,1.3,3,5.5,22.4466183574879,55.8094960120675
"T1250","Mobile",1,NA,NA,1.73,2,31,22.4466183574879,53.4959683321996
"T1300","Mobile",1,NA,NA,1.66,2,27,22.4466183574879,52.2675393454615
"T1350","Mobile",1,NA,NA,1.86,2,31,22.4466183574879,57.6304490506315
"T1400","Mobile",1,NA,NA,1.83,2,27,22.4466183574879,57.7747181684023
"U1300","Mobile",1,NA,NA,1.06,2,6,22.4466183574879,40.6347505509025
"U1400","Mobile",1,NA,NA,1.2,2,6,22.4466183574879,46.1585808595183
"U1500","Mobile",1,NA,NA,1.33,2,5.5,22.4466183574879,51.9282086112524
"U2100","Mobile",1,NA,2007,1.06,1,5.5,22.4466183574879,34.9326948356778
"U2200","Mobile",1,NA,2007,1.2,1,5.5,22.4466183574879,39.6813957844684
"SU3500","Mobile",1,NA,2009,1.4,3,5.5,22.4466183574879,60.2249718976646
"SU3300","Mobile",1,NA,2008,1.2,3,5.5,22.4466183574879,51.4033465229954
"U2400","Mobile",2,NA,NA,1.06,2,9,22.4466183574879,68.9633713284132
"U2500","Mobile",2,NA,2006,1.2,2,9,22.4466183574879,78.3381541328756
"U7500","Mobile",2,NA,2006,1.06,2,10,22.4466183574879,67.960527991158
"U7500","Mobile",2,NA,2006,1.06,2,10,22.4466183574879,67.960527991158
"U7600","Mobile",2,NA,2007,1.2,2,10,22.4466183574879,77.198985695896
